City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
226,leningradskiy,69.3833,178.4167,-34.55,98,98,3.62,RU,1675716271
227,kaili,-3.4626,120.2147,19.34,92,100,1.18,ID,1675716272
228,kaitangata,-46.2817,169.8464,19.66,48,13,4.49,NZ,1675716272
229,obo,5.3998,26.4869,24.68,20,15,0.65,CF,1675716272
230,udachnyy,66.4167,112.4,-36.42,66,100,1.16,RU,1675716177
231,san fernando,15.0286,120.6898,25.85,90,88,2.42,PH,1675716273
232,new norfolk,-42.7826,147.0587,13.84,63,0,0.45,AU,1675716273
233,lerwick,60.1545,-1.1494,9.0,77,100,10.54,GB,1675716273
234,kyaikkami,16.08,97.5675,25.36,72,0,1.32,MM,1675716274
235,auki,-8.7676,160.7034,25.47,86,100,2.16,SB,1675716274
236,hasaki,35.7333,140.8333,6.23,56,100,2.19,JP,1675716274
237,inhambane,-23.865,35.3833,24.89,86,100,4.74,MZ,1675716274
238,rio de jesus,7.9844,-81.1631,34.94,41,4,6.09,PA,1675716275
239,bandarbeyla,9.4942,50.8122,23.9,76,86,6.22,SO,1675716275
240,zemio,5.0314,25.1361,23.72,24,4,1.79,CF,1675716275
241,luderitz,-26.6481,15.1594,18.15,91,8,6.43,NA,1675716143
242,lazaro cardenas,17.9583,-102.2,28.04,58,0,4.89,MX,1675716276
243,saint-pierre,-21.3393,55.4781,25.82,78,0,3.09,RE,1675716276
244,santiago del estero,-27.7951,-64.2615,38.17,16,0,3.55,AR,1675716277
245,mantua,45.1667,10.7833,3.58,85,85,2.24,IT,1675716277
246,barcelos,41.5388,-8.6151,12.69,59,1,3.16,PT,1675716278
247,mizdah,31.4451,12.9801,8.7,62,86,3.98,LY,1675716278
248,karratha,-20.7377,116.8463,29.59,66,3,1.64,AU,1675716279
249,am timan,11.0297,20.2827,27.13,11,90,3.02,TD,1675716280
250,guerrero negro,27.9769,-114.0611,17.07,54,98,8.96,MX,1675716280
251,davidson,36.1501,-86.7833,18.0,34,20,3.09,US,1675716280
252,kiunga,-6.1219,141.2906,22.75,99,100,1.04,PG,1675716280
253,yamada,39.4667,141.95,1.47,87,100,2.03,JP,1675716281
254,ipswich,52.0592,1.1555,4.36,80,11,3.09,GB,1675716281
255,porto novo,6.4965,2.6036,28.9,83,100,3.83,BJ,1675716281
256,eydhafushi,5.1033,73.0708,26.89,76,99,4.08,MV,1675716142
257,sobolevo,54.4299,31.8996,-4.98,97,100,1.04,RU,1675716282
258,alekseyevsk,57.8406,108.3492,-12.05,95,100,3.0,RU,1675716283
259,sitka,57.0531,-135.33,3.94,81,75,1.54,US,1675716283
260,zabol,32.25,67.25,0.89,65,6,0.45,AF,1675716283
261,pisz,53.6274,21.8125,-0.96,82,92,3.4,PL,1675716197
262,bambous virieux,-20.3428,57.7575,27.14,78,75,3.6,MU,1675716284
263,fairbanks,64.8378,-147.7164,-14.39,75,40,1.54,US,1675716033
264,bubaque,11.2833,-15.8333,24.55,69,4,10.35,GW,1675716284
265,pangnirtung,66.1451,-65.7125,-33.0,68,40,3.6,CA,1675716181
266,carnarvon,-24.8667,113.6333,24.14,70,0,8.6,AU,1675716284
267,amapa,1.0,-52.0,24.19,97,96,1.65,BR,1675716198
268,schneverdingen,53.1167,9.8,-1.62,94,6,2.12,DE,1675716285
269,merauke,-8.4667,140.3333,25.35,91,100,5.52,ID,1675716285
270,ouesso,1.6136,16.0517,25.45,43,64,1.17,CG,1675716286
271,bugene,-1.5911,31.1403,17.62,68,100,1.3,TZ,1675716286
272,union hidalgo,16.4723,-94.8295,31.2,42,1,9.03,MX,1675716286
273,aberystwyth,52.4155,-4.0829,1.61,84,34,1.87,GB,1675716287
274,ribeira grande,38.5167,-28.7,14.32,72,40,11.18,PT,1675716287
275,puerto baquerizo moreno,-0.9,-89.6,29.55,66,20,3.09,EC,1675716287
276,guatire,10.4762,-66.5427,26.0,69,91,2.64,VE,1675716002
277,jiazi,22.8779,116.067,17.98,92,12,1.3,CN,1675716288
278,fare,-16.7,-151.0167,27.1,77,0,6.62,PF,1675716288
279,gimli,50.6336,-96.9907,-1.99,80,100,6.69,CA,1675716289
280,san luis,-33.295,-66.3356,35.11,16,0,3.83,AR,1675716264
281,oussouye,12.485,-16.5469,25.1,57,6,6.58,SN,1675716289
282,cabo san lucas,22.8909,-109.9124,29.17,39,0,5.66,MX,1675716108
283,bowen,-20.0167,148.2333,26.85,84,51,5.24,AU,1675716289
284,kunyang,27.6658,120.5658,12.22,95,100,1.71,CN,1675716290
285,stornoway,58.2093,-6.3865,8.98,93,100,12.35,GB,1675716290
286,faanui,-16.4833,-151.75,27.28,75,8,6.95,PF,1675716290
287,mount gambier,-37.8333,140.7667,13.57,86,11,1.97,AU,1675716291
288,elizabeth city,36.2946,-76.2511,13.9,51,100,6.17,US,1675716263
289,aksarka,66.5606,67.7975,-27.38,100,99,0.36,RU,1675716175
290,cam ranh,11.9214,109.1591,21.98,88,0,1.54,VN,1675716291
291,kieta,-6.2167,155.6333,25.68,88,100,2.79,PG,1675716291
292,that phanom,16.9364,104.7104,24.36,66,9,1.67,TH,1675716292
293,pomabamba,-8.8333,-77.4667,15.24,60,90,1.99,PE,1675716292
294,padang,-0.9492,100.3543,25.02,81,100,1.61,ID,1675716292
295,buala,-8.145,159.5921,26.8,83,99,3.64,SB,1675716293
